mean	var
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
2.7387918920436435e-05	1.1762493460815015e-08
2.2723496714317778e-05	1.0833365182506314e-08
2.4378828722441768e-05	1.0207442694514226e-08
2.868466282856994e-05	1.3721011665552475e-08
2.76868799148804e-05	1.915860243782012e-08
2.3654590128906812e-05	2.0189401254234168e-08
2.5701175441778767e-05	1.1703409202508902e-08
2.3301749100375923e-05	1.8840472862545065e-08
2.5186511973505473e-05	1.2215175617174943e-08
3.435171332955698e-05	1.586258520898433e-08
2.6778338495043325e-05	1.022890253031832e-08
2.7301117298788926e-05	1.3413799223971367e-08
3.47364089600212e-05	1.4836848963056806e-08
2.8825661013985914e-05	1.3395795662317422e-08
2.18455036110102e-05	1.231123536951249e-08
2.310176647639473e-05	9.137973621514975e-09
2.6141441346938406e-05	1.0001745782793142e-08
2.9673383937045986e-05	1.3797276986525488e-08
2.9371245098112688e-05	1.0866216196408439e-08
2.9879406745531475e-05	1.3469379690472739e-08
3.0508729788359803e-05	2.164246792263572e-08
2.98563293667162e-05	1.1892147573721636e-08
3.426893537349244e-05	1.806819669932251e-08
3.6073503005085594e-05	1.8791457267359322e-08
2.495976283888203e-05	1.1515311712609471e-08
3.078417757287772e-05	1.25380090842432e-08
4.4439908010354446e-05	3.410222382446236e-08
3.453843281500125e-05	1.5208418997010514e-08
3.1555214435411145e-05	1.3449637376084585e-08
2.5817264355627334e-05	1.1204367262664715e-08
2.770387282601826e-05	1.2065946292261472e-08
2.464808341115278e-05	1.2405513996803256e-08
2.894992942187415e-05	1.5841200169125785e-08
2.5893737395636567e-05	1.1833180257204501e-08
2.8314327099676525e-05	1.4547691350051024e-08
2.556717959890233e-05	1.2430317582198353e-08
4.28703983637668e-05	2.3502160904785585e-08
2.9798811922955312e-05	1.3430828358135912e-08
2.1344225137513922e-05	8.86821177462365e-09
2.5450574892396985e-05	1.305162026145052e-08
3.770798550335443e-05	2.2190456316607395e-08
3.586681391175653e-05	1.921003691973084e-08
2.3361458141966576e-05	9.77412605329396e-09
2.7267998924087004e-05	1.3536638638006947e-08
2.933108893827691e-05	1.0994242754767136e-08
3.172079145283799e-05	1.7417183713956867e-08
2.725902649153566e-05	1.1156475760824242e-08
3.491047225955085e-05	2.8054137020787222e-08
