enh_class	quantile	rank	H3K27ac.RPM	DHS.RPM
any	0.01000	160552.00000	0.00000	0.02231
any	0.02000	158931.00000	0.00000	0.04612
any	0.03000	157309.00000	0.00000	0.07146
any	0.04000	155687.00000	0.00000	0.11455
any	0.05000	154065.00000	0.00000	0.16068
any	0.06000	152444.00000	0.00000	0.25141
any	0.07000	150822.00000	0.05118	0.34215
any	0.08000	149200.00000	0.05118	0.38827
any	0.09000	147578.00000	0.05118	0.41814
any	0.10000	145957.00000	0.05118	0.44045
any	0.11000	144335.00000	0.05118	0.45973
any	0.12000	142713.00000	0.10236	0.47901
any	0.13000	141091.00000	0.10236	0.48960
any	0.14000	139470.00000	0.10236	0.50736
any	0.15000	137848.00000	0.10236	0.52362
any	0.16000	136226.00000	0.10236	0.53270
any	0.17000	134604.00000	0.11694	0.55046
any	0.18000	132983.00000	0.11694	0.55803
any	0.19000	131361.00000	0.15354	0.57428
any	0.20000	129739.00000	0.15354	0.58185
any	0.21000	128117.00000	0.15354	0.59961
any	0.22000	126496.00000	0.16812	0.61587
any	0.23000	124874.00000	0.16812	0.62343
any	0.24000	123252.00000	0.16812	0.64271
any	0.25000	121630.00000	0.20472	0.65028
any	0.26000	120009.00000	0.20472	0.66804
any	0.27000	118387.00000	0.20472	0.68581
any	0.28000	116765.00000	0.21930	0.69489
any	0.29000	115144.00000	0.21930	0.71417
any	0.30000	113522.00000	0.21930	0.73193
any	0.31000	111900.00000	0.25590	0.74252
any	0.32000	110278.00000	0.25590	0.76180
any	0.33000	108657.00000	0.27048	0.78108
any	0.34000	107035.00000	0.27048	0.80188
any	0.35000	105413.00000	0.28506	0.81549
any	0.36000	103791.00000	0.28506	0.83326
any	0.37000	102170.00000	0.30708	0.85405
any	0.38000	100548.00000	0.32166	0.87636
any	0.39000	98926.00000	0.32166	0.89715
any	0.40000	97304.00000	0.33624	0.91945
any	0.41000	95683.00000	0.35082	0.94176
any	0.42000	94061.00000	0.37284	0.96558
any	0.43000	92439.00000	0.37284	0.98788
any	0.44000	90817.00000	0.38742	1.01170
any	0.45000	89196.00000	0.40200	1.03704
any	0.46000	87574.00000	0.42402	1.06085
any	0.47000	85952.00000	0.43860	1.08514
any	0.48000	84330.00000	0.45318	1.11152
any	0.49000	82709.00000	0.46776	1.14377
any	0.50000	81087.00000	0.48978	1.17087
any	0.51000	79465.00000	0.50436	1.19923
any	0.52000	77844.00000	0.51894	1.23061
any	0.53000	76222.00000	0.54096	1.26614
any	0.54000	74600.00000	0.55554	1.29601
any	0.55000	72978.00000	0.58470	1.33457
any	0.56000	71357.00000	0.60672	1.37010
any	0.57000	69735.00000	0.62874	1.40905
any	0.58000	68113.00000	0.65790	1.45064
any	0.59000	66491.00000	0.68706	1.49374
any	0.60000	64870.00000	0.70908	1.53723
any	0.61000	63248.00000	0.74569	1.58296
any	0.62000	61626.00000	0.78942	1.63362
any	0.63000	60004.00000	0.82602	1.68731
any	0.64000	58383.00000	0.86262	1.74515
any	0.65000	56761.00000	0.90636	1.79884
any	0.66000	55139.00000	0.95041	1.86122
any	0.67000	53517.00000	1.00159	1.92965
any	0.68000	51896.00000	1.05277	1.99808
any	0.69000	50274.00000	1.11108	2.07256
any	0.70000	48652.00000	1.17684	2.15158
any	0.71000	47030.00000	1.25005	2.23929
any	0.72000	45409.00000	1.32325	2.33608
any	0.73000	43787.00000	1.41072	2.43712
any	0.74000	42165.00000	1.49850	2.54288
any	0.75000	40544.00000	1.60086	2.65441
any	0.76000	38922.00000	1.71067	2.77916
any	0.77000	37300.00000	1.83474	2.90908
any	0.78000	35678.00000	1.97371	3.05590
any	0.79000	34057.00000	2.13438	3.21809
any	0.80000	32435.00000	2.29537	3.39805
any	0.81000	30813.00000	2.47093	3.59465
any	0.82000	29191.00000	2.68279	3.81053
any	0.83000	27570.00000	2.90953	4.03925
any	0.84000	25948.00000	3.17257	4.29974
any	0.85000	24326.00000	3.45050	4.58254
any	0.86000	22704.00000	3.76266	4.89330
any	0.87000	21083.00000	4.12298	5.25644
any	0.88000	19461.00000	4.52466	5.65662
any	0.89000	17839.00000	4.98560	6.12352
any	0.90000	16217.00000	5.52408	6.66345
any	0.91000	14596.00000	6.14786	7.29478
any	0.92000	12974.00000	6.84955	8.03428
any	0.93000	11352.00000	7.67490	8.93860
any	0.94000	9730.00000	8.72104	9.99038
any	0.95000	8109.00000	9.95631	11.29575
any	0.96000	6487.00000	11.60838	12.93421
any	0.97000	4865.00000	13.82290	15.27065
any	0.98000	3243.00000	17.18186	18.77426
any	0.99000	1622.00000	23.54758	25.00516
any	0.99100	1460.00000	24.52068	25.94903
any	0.99200	1297.00000	25.58599	27.04003
any	0.99300	1135.00000	27.11137	28.25855
any	0.99400	973.00000	28.74421	29.87860
any	0.99500	811.00000	30.58858	31.73716
any	0.99600	649.00000	33.63042	34.44424
any	0.99700	487.00000	37.24803	37.71542
any	0.99800	324.00000	42.51366	42.21845
any	0.99900	162.00000	50.03195	52.44740
any	0.99910	146.00000	51.45413	53.83799
any	0.99920	130.00000	53.66106	55.97515
any	0.99930	114.00000	55.62077	58.80805
any	0.99940	97.00000	58.05714	62.04228
any	0.99950	81.00000	60.67542	65.41438
any	0.99960	65.00000	63.48005	69.03068
any	0.99970	49.00000	67.63678	73.78877
any	0.99980	32.00000	74.16301	83.96908
any	0.99990	16.00000	90.48391	101.13273
promoter	0.01000	27943.00000	0.00000	0.00000
promoter	0.02000	27660.00000	0.00000	0.00000
promoter	0.03000	27378.00000	0.00000	0.00000
promoter	0.04000	27096.00000	0.00000	0.02231
promoter	0.05000	26814.00000	0.00000	0.02230
promoter	0.06000	26532.00000	0.00000	0.02231
promoter	0.07000	26249.00000	0.00000	0.02382
promoter	0.08000	25967.00000	0.00000	0.02382
promoter	0.09000	25685.00000	0.00000	0.04461
promoter	0.10000	25402.00000	0.00000	0.04612
promoter	0.11000	25120.00000	0.00000	0.04612
promoter	0.12000	24838.00000	0.00000	0.04764
promoter	0.13000	24556.00000	0.00000	0.06692
promoter	0.14000	24274.00000	0.05118	0.06843
promoter	0.15000	23991.00000	0.05118	0.06843
promoter	0.16000	23709.00000	0.05118	0.06994
promoter	0.17000	23427.00000	0.05118	0.07146
promoter	0.18000	23144.00000	0.05118	0.09073
promoter	0.19000	22862.00000	0.05118	0.09225
promoter	0.20000	22580.00000	0.05118	0.09225
promoter	0.21000	22298.00000	0.05118	0.09376
promoter	0.22000	22016.00000	0.10236	0.11304
promoter	0.23000	21733.00000	0.10236	0.11455
promoter	0.24000	21451.00000	0.10236	0.11607
promoter	0.25000	21169.00000	0.10236	0.13535
promoter	0.26000	20886.00000	0.10236	0.13837
promoter	0.27000	20604.00000	0.11694	0.13989
promoter	0.28000	20322.00000	0.11694	0.15916
promoter	0.29000	20040.00000	0.15354	0.16219
promoter	0.30000	19758.00000	0.15354	0.18298
promoter	0.31000	19475.00000	0.15354	0.18601
promoter	0.32000	19193.00000	0.16812	0.20783
promoter	0.33000	18911.00000	0.16812	0.22911
promoter	0.34000	18628.00000	0.16812	0.25293
promoter	0.35000	18346.00000	0.20472	0.27826
promoter	0.36000	18064.00000	0.21930	0.32287
promoter	0.37000	17782.00000	0.21930	0.36899
promoter	0.38000	17500.00000	0.25590	0.41966
promoter	0.39000	17217.00000	0.27048	0.48657
promoter	0.40000	16935.00000	0.27923	0.54895
promoter	0.41000	16653.00000	0.30708	0.59810
promoter	0.42000	16370.00000	0.33624	0.65028
promoter	0.43000	16088.00000	0.37284	0.71114
promoter	0.44000	15806.00000	0.40200	0.76332
promoter	0.45000	15524.00000	0.43860	0.83175
promoter	0.46000	15242.00000	0.48978	0.90320
promoter	0.47000	14959.00000	0.55554	0.97315
promoter	0.48000	14677.00000	0.64332	1.05329
promoter	0.49000	14395.00000	0.70908	1.13195
promoter	0.50000	14112.00000	0.81144	1.21699
promoter	0.51000	13830.00000	0.92838	1.29299
promoter	0.52000	13548.00000	1.04532	1.37767
promoter	0.53000	13266.00000	1.18429	1.47143
promoter	0.54000	12983.00000	1.33038	1.57987
promoter	0.55000	12701.00000	1.49280	1.69025
promoter	0.56000	12419.00000	1.65931	1.81207
promoter	0.57000	12137.00000	1.82016	1.94278
promoter	0.58000	11854.00000	1.99570	2.05467
promoter	0.59000	11572.00000	2.17843	2.20815
promoter	0.60000	11290.00000	2.36113	2.36162
promoter	0.61000	11008.00000	2.56574	2.53077
promoter	0.62000	10726.00000	2.74855	2.68224
promoter	0.63000	10443.00000	2.95327	2.86152
promoter	0.64000	10161.00000	3.18267	3.05590
promoter	0.65000	9879.00000	3.39900	3.27118
promoter	0.66000	9596.00000	3.60258	3.48615
promoter	0.67000	9314.00000	3.83792	3.76402
promoter	0.68000	9032.00000	4.06435	4.00668
promoter	0.69000	8750.00000	4.32739	4.27160
promoter	0.70000	8467.00000	4.56127	4.52016
promoter	0.71000	8185.00000	4.81004	4.81882
promoter	0.72000	7903.00000	5.10223	5.10798
promoter	0.73000	7621.00000	5.37302	5.47065
promoter	0.74000	7338.00000	5.67979	5.78824
promoter	0.75000	7056.00000	5.98719	6.15984
promoter	0.76000	6774.00000	6.29396	6.54571
promoter	0.77000	6492.00000	6.66695	6.91914
promoter	0.78000	6209.00000	7.02507	7.36165
promoter	0.79000	5927.00000	7.40504	7.81343
promoter	0.80000	5645.00000	7.85797	8.28016
promoter	0.81000	5363.00000	8.28969	8.78869
promoter	0.82000	5080.00000	8.79354	9.26223
promoter	0.83000	4798.00000	9.23297	9.79559
promoter	0.84000	4516.00000	9.79823	10.37223
promoter	0.85000	4234.00000	10.36488	10.99989
promoter	0.86000	3952.00000	11.02822	11.61599
promoter	0.87000	3669.00000	11.68036	12.33856
promoter	0.88000	3387.00000	12.31183	13.10357
promoter	0.89000	3105.00000	13.15042	14.09395
promoter	0.90000	2822.00000	14.08674	14.95437
promoter	0.91000	2540.00000	15.11717	16.03248
promoter	0.92000	2258.00000	16.10532	17.32014
promoter	0.93000	1976.00000	17.49979	18.70240
promoter	0.94000	1693.00000	18.91490	20.24557
promoter	0.95000	1411.00000	20.87048	21.98709
promoter	0.96000	1129.00000	23.16733	24.24696
promoter	0.97000	847.00000	25.87492	27.08397
promoter	0.98000	565.00000	30.42365	31.35458
promoter	0.99000	282.00000	39.92022	39.76209
promoter	0.99100	254.00000	41.28159	40.83939
promoter	0.99200	226.00000	42.87728	42.19483
promoter	0.99300	198.00000	44.14312	43.94731
promoter	0.99400	169.00000	45.92016	46.49385
promoter	0.99500	141.00000	47.55936	48.79598
promoter	0.99600	113.00000	50.30351	52.60536
promoter	0.99700	85.00000	55.68618	56.30586
promoter	0.99800	56.00000	61.85435	62.46455
promoter	0.99900	28.00000	72.46695	73.19551
promoter	0.99910	25.00000	74.16535	75.25981
promoter	0.99920	23.00000	75.20161	78.26916
promoter	0.99930	20.00000	77.62381	81.57931
promoter	0.99940	17.00000	78.96633	82.03896
promoter	0.99950	14.00000	85.87515	83.63131
promoter	0.99960	11.00000	94.25365	86.09427
promoter	0.99970	8.00000	104.80742	95.50058
promoter	0.99980	6.00000	107.74067	99.66587
promoter	0.99990	3.00000	114.66014	126.11171
nonpromoter	0.01000	132610.00000	0.00000	0.35123
nonpromoter	0.02000	131270.00000	0.00000	0.39432
nonpromoter	0.03000	129931.00000	0.00000	0.41814
nonpromoter	0.04000	128591.00000	0.00000	0.43894
nonpromoter	0.05000	127252.00000	0.05118	0.45670
nonpromoter	0.06000	125912.00000	0.05118	0.46881
nonpromoter	0.07000	124573.00000	0.05118	0.48506
nonpromoter	0.08000	123233.00000	0.05118	0.50131
nonpromoter	0.09000	121894.00000	0.05118	0.50888
nonpromoter	0.10000	120554.00000	0.10236	0.52513
nonpromoter	0.11000	119215.00000	0.10236	0.53270
nonpromoter	0.12000	117875.00000	0.10236	0.54895
nonpromoter	0.13000	116536.00000	0.10236	0.55500
nonpromoter	0.14000	115196.00000	0.11694	0.57126
nonpromoter	0.15000	113857.00000	0.11694	0.57731
nonpromoter	0.16000	112517.00000	0.11694	0.59356
nonpromoter	0.17000	111178.00000	0.15354	0.59961
nonpromoter	0.18000	109838.00000	0.15354	0.61587
nonpromoter	0.19000	108499.00000	0.15354	0.62343
nonpromoter	0.20000	107159.00000	0.16812	0.63968
nonpromoter	0.21000	105820.00000	0.16812	0.64725
nonpromoter	0.22000	104480.00000	0.16812	0.66350
nonpromoter	0.23000	103141.00000	0.20472	0.67107
nonpromoter	0.24000	101801.00000	0.20472	0.68884
nonpromoter	0.25000	100462.00000	0.20472	0.69640
nonpromoter	0.26000	99122.00000	0.21930	0.71265
nonpromoter	0.27000	97783.00000	0.21930	0.72891
nonpromoter	0.28000	96443.00000	0.21930	0.73950
nonpromoter	0.29000	95104.00000	0.23388	0.75726
nonpromoter	0.30000	93764.00000	0.25590	0.76786
nonpromoter	0.31000	92425.00000	0.25590	0.78411
nonpromoter	0.32000	91085.00000	0.27048	0.80339
nonpromoter	0.33000	89746.00000	0.27048	0.81813
nonpromoter	0.34000	88406.00000	0.28506	0.83175
nonpromoter	0.35000	87067.00000	0.28506	0.85254
nonpromoter	0.36000	85727.00000	0.30708	0.87182
nonpromoter	0.37000	84388.00000	0.32166	0.88544
nonpromoter	0.38000	83048.00000	0.32166	0.90169
nonpromoter	0.39000	81709.00000	0.33624	0.92248
nonpromoter	0.40000	80369.00000	0.33624	0.94327
nonpromoter	0.41000	79030.00000	0.35826	0.96558
nonpromoter	0.42000	77690.00000	0.37284	0.98637
nonpromoter	0.43000	76351.00000	0.37284	1.00565
nonpromoter	0.44000	75011.00000	0.38742	1.02835
nonpromoter	0.45000	73672.00000	0.40200	1.05177
nonpromoter	0.46000	72332.00000	0.42402	1.06993
nonpromoter	0.47000	70993.00000	0.42402	1.09358
nonpromoter	0.48000	69653.00000	0.43860	1.11757
nonpromoter	0.49000	68314.00000	0.45318	1.14402
nonpromoter	0.50000	66974.00000	0.47520	1.16784
nonpromoter	0.51000	65635.00000	0.48978	1.19620
nonpromoter	0.52000	64296.00000	0.50436	1.22153
nonpromoter	0.53000	62956.00000	0.51894	1.24989
nonpromoter	0.54000	61617.00000	0.54096	1.28088
nonpromoter	0.55000	60277.00000	0.55554	1.30924
nonpromoter	0.56000	58938.00000	0.57012	1.33911
nonpromoter	0.57000	57598.00000	0.59214	1.37767
nonpromoter	0.58000	56259.00000	0.60672	1.40905
nonpromoter	0.59000	54919.00000	0.63588	1.44761
nonpromoter	0.60000	53580.00000	0.65790	1.48202
nonpromoter	0.61000	52240.00000	0.67993	1.52058
nonpromoter	0.62000	50901.00000	0.70908	1.56368
nonpromoter	0.63000	49561.00000	0.73824	1.60678
nonpromoter	0.64000	48222.00000	0.76771	1.65441
nonpromoter	0.65000	46882.00000	0.79686	1.70357
nonpromoter	0.66000	45543.00000	0.82602	1.75272
nonpromoter	0.67000	44203.00000	0.86262	1.80338
nonpromoter	0.68000	42864.00000	0.90636	1.86122
nonpromoter	0.69000	41524.00000	0.94296	1.92096
nonpromoter	0.70000	40185.00000	0.99414	1.98334
nonpromoter	0.71000	38845.00000	1.03819	2.05025
nonpromoter	0.72000	37506.00000	1.08906	2.12322
nonpromoter	0.73000	36166.00000	1.14768	2.20034
nonpromoter	0.74000	34827.00000	1.20631	2.28390
nonpromoter	0.75000	33487.00000	1.27176	2.37615
nonpromoter	0.76000	32148.00000	1.33783	2.47142
nonpromoter	0.77000	30808.00000	1.41816	2.57236
nonpromoter	0.78000	29469.00000	1.49850	2.67822
nonpromoter	0.79000	28129.00000	1.59373	2.79995
nonpromoter	0.80000	26790.00000	1.69609	2.92510
nonpromoter	0.81000	25450.00000	1.81272	3.06347
nonpromoter	0.82000	24111.00000	1.94424	3.21809
nonpromoter	0.83000	22771.00000	2.09065	3.39200
nonpromoter	0.84000	21432.00000	2.24419	3.57840
nonpromoter	0.85000	20092.00000	2.41969	3.78066
nonpromoter	0.86000	18753.00000	2.61672	4.00826
nonpromoter	0.87000	17413.00000	2.84896	4.26118
nonpromoter	0.88000	16074.00000	3.10681	4.55125
nonpromoter	0.89000	14734.00000	3.40645	4.86231
nonpromoter	0.90000	13395.00000	3.74244	5.22373
nonpromoter	0.91000	12055.00000	4.14500	5.63761
nonpromoter	0.92000	10716.00000	4.62702	6.13753
nonpromoter	0.93000	9376.00000	5.18756	6.73826
nonpromoter	0.94000	8037.00000	5.92766	7.46886
nonpromoter	0.95000	6697.00000	6.79882	8.41634
nonpromoter	0.96000	5358.00000	7.89454	9.63046
nonpromoter	0.97000	4018.00000	9.48097	11.27704
nonpromoter	0.98000	2679.00000	11.88631	13.70719
nonpromoter	0.99000	1339.00000	16.40350	18.50298
nonpromoter	0.99100	1206.00000	17.10877	19.23856
nonpromoter	0.99200	1072.00000	18.11735	20.10327
nonpromoter	0.99300	938.00000	19.10968	21.15338
nonpromoter	0.99400	804.00000	20.30942	22.32417
nonpromoter	0.99500	670.00000	21.78652	23.65115
nonpromoter	0.99600	536.00000	23.61822	25.48192
nonpromoter	0.99700	402.00000	26.18850	28.10535
nonpromoter	0.99800	268.00000	30.00525	31.54937
nonpromoter	0.99900	134.00000	38.06445	39.02319
nonpromoter	0.99910	121.00000	39.52895	40.58815
nonpromoter	0.99920	107.00000	41.05193	41.28457
nonpromoter	0.99930	94.00000	42.50096	42.65687
nonpromoter	0.99940	80.00000	43.93122	43.82551
nonpromoter	0.99950	67.00000	46.29386	45.55491
nonpromoter	0.99960	54.00000	48.74329	48.40220
nonpromoter	0.99970	40.00000	51.44022	59.06831
nonpromoter	0.99980	27.00000	55.86771	68.56643
nonpromoter	0.99990	13.00000	63.67828	94.64775
