chr	start	end	name	score	strand	symbol	tss	K562.ENCFF934YBO.TPM.txt.Expression	Expression	Expression.quantile	is_ue	cellType	H3K27ac.ENCFF384ZZM.chr22.bam.readCount	H3K27ac.ENCFF384ZZM.chr22.bam.RPM	H3K27ac.ENCFF384ZZM.chr22.bam.readCount.quantile	H3K27ac.ENCFF384ZZM.chr22.bam.RPM.quantile	H3K27ac.ENCFF384ZZM.chr22.bam.RPKM	H3K27ac.ENCFF384ZZM.chr22.bam.RPKM.quantile	H3K27ac.RPM	H3K27ac.RPM.quantile	H3K27ac.RPKM	H3K27ac.RPKM.quantile	DHS.wgEncodeUwDnaseK562AlnRep1.chr22.bam.readCount	DHS.wgEncodeUwDnaseK562AlnRep1.chr22.bam.RPM	DHS.wgEncodeUwDnaseK562AlnRep1.chr22.bam.readCount.quantile	DHS.wgEncodeUwDnaseK562AlnRep1.chr22.bam.RPM.quantile	DHS.wgEncodeUwDnaseK562AlnRep1.chr22.bam.RPKM	DHS.wgEncodeUwDnaseK562AlnRep1.chr22.bam.RPKM.quantile	DHS.wgEncodeUwDnaseK562AlnRep2.chr22.bam.readCount	DHS.wgEncodeUwDnaseK562AlnRep2.chr22.bam.RPM	DHS.wgEncodeUwDnaseK562AlnRep2.chr22.bam.readCount.quantile	DHS.wgEncodeUwDnaseK562AlnRep2.chr22.bam.RPM.quantile	DHS.wgEncodeUwDnaseK562AlnRep2.chr22.bam.RPKM	DHS.wgEncodeUwDnaseK562AlnRep2.chr22.bam.RPKM.quantile	DHS.RPM	DHS.RPM.quantile	DHS.RPKM	DHS.RPKM.quantile	H3K27ac.ENCFF384ZZM.chr22.bam.readCount.TSS1Kb	H3K27ac.ENCFF384ZZM.chr22.bam.RPM.TSS1Kb	H3K27ac.ENCFF384ZZM.chr22.bam.readCount.quantile.TSS1Kb	H3K27ac.ENCFF384ZZM.chr22.bam.RPM.quantile.TSS1Kb	H3K27ac.ENCFF384ZZM.chr22.bam.RPKM.TSS1Kb	H3K27ac.ENCFF384ZZM.chr22.bam.RPKM.quantile.TSS1Kb	H3K27ac.RPM.TSS1Kb	H3K27ac.RPM.quantile.TSS1Kb	H3K27ac.RPKM.TSS1Kb	H3K27ac.RPKM.quantile.TSS1Kb	DHS.wgEncodeUwDnaseK562AlnRep1.chr22.bam.readCount.TSS1Kb	DHS.wgEncodeUwDnaseK562AlnRep1.chr22.bam.RPM.TSS1Kb	DHS.wgEncodeUwDnaseK562AlnRep1.chr22.bam.readCount.quantile.TSS1Kb	DHS.wgEncodeUwDnaseK562AlnRep1.chr22.bam.RPM.quantile.TSS1Kb	DHS.wgEncodeUwDnaseK562AlnRep1.chr22.bam.RPKM.TSS1Kb	DHS.wgEncodeUwDnaseK562AlnRep1.chr22.bam.RPKM.quantile.TSS1Kb	DHS.wgEncodeUwDnaseK562AlnRep2.chr22.bam.readCount.TSS1Kb	DHS.wgEncodeUwDnaseK562AlnRep2.chr22.bam.RPM.TSS1Kb	DHS.wgEncodeUwDnaseK562AlnRep2.chr22.bam.readCount.quantile.TSS1Kb	DHS.wgEncodeUwDnaseK562AlnRep2.chr22.bam.RPM.quantile.TSS1Kb	DHS.wgEncodeUwDnaseK562AlnRep2.chr22.bam.RPKM.TSS1Kb	DHS.wgEncodeUwDnaseK562AlnRep2.chr22.bam.RPKM.quantile.TSS1Kb	DHS.RPM.TSS1Kb	DHS.RPM.quantile.TSS1Kb	DHS.RPKM.TSS1Kb	DHS.RPKM.quantile.TSS1Kb	PromoterActivityQuantile
chr22	16150528	16193009	DUXAP8	0	-	DUXAP8	16193009	0.000000	0.000000	0.268402	False	K562	0	0.000000	0.017953	0.017953	0.000000	0.017953	0.000000	0.017953	0.000000	0.017953	28	64.471415	0.155296	0.155296	1.517653	0.023339	33	84.542331	0.188510	0.188510	1.990121	0.032316	74.506873	0.174147	1.753887	0.025135	0	0.000000	0.065530	0.065530	0.000000	0.065530	0.000000	0.065530	0.000000	0.065530	0	0.000000	0.020646	0.020646	0.000000	0.020646	0	0.000000	0.025135	0.025135	0.000000	0.025135	0.000000	0.010772	0.000000	0.010772	0.010772
chr22	16199673	16231289	LINC01297	0	-	LINC01297	16231289			0.082585	False	K562	0	0.000000	0.017953	0.017953	0.000000	0.017953	0.000000	0.017953	0.000000	0.017953	22	50.656112	0.122083	0.122083	1.602230	0.026930	26	66.609110	0.157092	0.157092	2.106816	0.034111	58.632611	0.141831	1.854523	0.026930	0	0.000000	0.065530	0.065530	0.000000	0.065530	0.000000	0.065530	0.000000	0.065530	1	2.302551	0.070018	0.070018	2.302551	0.070018	1	2.561889	0.077199	0.077199	2.561889	0.077199	2.432220	0.059246	2.432220	0.059246	0.040395
chr22	16256331	16287937	POTEH	0	-	POTEH	16287937	0.000000	0.000000	0.268402	False	K562	1	4.570238	0.038600	0.038600	0.144600	0.037702	4.570238	0.038600	0.144600	0.037702	23	52.958662	0.128366	0.128366	1.675589	0.028725	21	53.799665	0.132855	0.132855	1.702198	0.028725	53.379164	0.132855	1.688893	0.023339	0	0.000000	0.065530	0.065530	0.000000	0.065530	0.000000	0.065530	0.000000	0.065530	1	2.302551	0.070018	0.070018	2.302551	0.070018	2	5.123778	0.131957	0.131957	5.123778	0.131957	3.713164	0.090664	3.713164	0.090664	0.052065
chr22	16448823	16449804	OR11H1	0	-	OR11H1	16449804	0.000000	0.000000	0.268402	False	K562	0	0.000000	0.017953	0.017953	0.000000	0.017953	0.000000	0.017953	0.000000	0.017953	0	0.000000	0.002693	0.002693	0.000000	0.002693	0	0.000000	0.003591	0.003591	0.000000	0.003591	0.000000	0.001795	0.000000	0.001795	0	0.000000	0.065530	0.065530	0.000000	0.065530	0.000000	0.065530	0.000000	0.065530	0	0.000000	0.020646	0.020646	0.000000	0.020646	0	0.000000	0.025135	0.025135	0.000000	0.025135	0.000000	0.010772	0.000000	0.010772	0.010772
chr22	17071647	17073700	CCT8L2	0	-	CCT8L2	17073700	0.000000	0.000000	0.268402	False	K562	8	36.561902	0.121185	0.121185	17.809012	0.459605	36.561902	0.121185	17.809012	0.459605	24	55.261213	0.133752	0.133752	26.917298	0.617594	15	38.428332	0.100539	0.100539	18.718136	0.520646	46.844773	0.113106	22.817717	0.565530	4	18.280951	0.352783	0.352783	18.280951	0.352783	18.280951	0.352783	18.280951	0.352783	15	34.538258	0.397666	0.397666	34.538258	0.397666	12	30.742666	0.393178	0.393178	30.742666	0.393178	32.640462	0.396768	32.640462	0.396768	0.393178
chr22	17082800	17129720	TPTEP1	0	+	TPTEP1	17082800	175.620000	175.620000	0.958707	False	K562	347	1585.872481	0.780969	0.780969	33.799499	0.630162	1585.872481	0.780969	33.799499	0.630162	632	1455.211938	0.822262	0.822262	31.014747	0.666068	681	1744.646293	0.842011	0.842011	37.183425	0.725314	1599.929116	0.829443	34.099086	0.710952	60	274.214262	0.696589	0.696589	274.214262	0.696589	274.214262	0.696589	274.214262	0.696589	94	216.439750	0.634650	0.634650	216.439750	0.634650	91	233.131883	0.650808	0.650808	233.131883	0.650808	224.785817	0.640934	224.785817	0.640934	0.658887
chr22	17134598	17156430	ANKRD62P1-PARP4P3	0	-	ANKRD62P1-PARP4P3	17156430	0.000000	0.000000	0.268402	False	K562	27	123.396418	0.254937	0.254937	5.652089	0.100539	123.396418	0.254937	5.652089	0.100539	185	425.971849	0.535907	0.535907	19.511353	0.509874	224	573.863098	0.610413	0.610413	26.285411	0.614004	499.917473	0.581688	22.898382	0.567325	3	13.710713	0.310592	0.310592	13.710713	0.310592	13.710713	0.310592	13.710713	0.310592	7	16.117854	0.309695	0.309695	16.117854	0.309695	4	10.247555	0.231598	0.231598	10.247555	0.231598	13.182705	0.280969	13.182705	0.280969	0.321364
chr22	17227758	17229328	LINC01665	0	-	LINC01665	17229328			0.082585	False	K562	2	9.140475	0.048474	0.048474	5.821959	0.107720	9.140475	0.048474	5.821959	0.107720	25	57.563763	0.137343	0.137343	36.664817	0.727110	30	76.856665	0.174147	0.174147	48.953290	0.784560	67.210214	0.159785	42.809054	0.757630	2	9.140475	0.249551	0.249551	9.140475	0.249551	9.140475	0.249551	9.140475	0.249551	14	32.235707	0.390485	0.390485	32.235707	0.390485	7	17.933222	0.317774	0.317774	17.933222	0.317774	25.084465	0.365350	25.084465	0.365350	0.326750
chr22	17264305	17302589	XKR3	0	-	XKR3	17302589	8.320000	8.320000	0.648115	False	K562	268	1224.823703	0.727110	0.727110	31.993096	0.621185	1224.823703	0.727110	31.993096	0.621185	589	1356.202265	0.802513	0.802513	35.424780	0.712747	703	1801.007847	0.849192	0.849192	47.043356	0.775583	1578.605056	0.825853	41.234068	0.743268	0	0.000000	0.065530	0.065530	0.000000	0.065530	0.000000	0.065530	0.000000	0.065530	3	6.907652	0.175943	0.175943	6.907652	0.175943	3	7.685666	0.181329	0.181329	7.685666	0.181329	7.296659	0.179533	7.296659	0.179533	0.094255
chr22	17308363	17310225	HSFY1P1	0	+	HSFY1P1	17308363	0.000000	0.000000	0.268402	False	K562	2	9.140475	0.048474	0.048474	4.908956	0.087971	9.140475	0.048474	4.908956	0.087971	5	11.512753	0.026930	0.026930	6.183004	0.109515	8	20.495111	0.056553	0.056553	11.007041	0.278276	16.003932	0.043088	8.595022	0.199282	1	4.570238	0.172352	0.172352	4.570238	0.172352	4.570238	0.172352	4.570238	0.172352	3	6.907652	0.175943	0.175943	6.907652	0.175943	2	5.123778	0.131957	0.131957	5.123778	0.131957	6.015715	0.140934	6.015715	0.140934	0.184022
