chr	start	end	name	score	strand	symbol	tss	K562.ENCFF934YBO.TPM.txt.Expression	Expression	Expression.quantile	is_ue	cellType	DHS.wgEncodeUwDnaseK562AlnRep1.chr22.bam.readCount	DHS.wgEncodeUwDnaseK562AlnRep1.chr22.bam.RPM	DHS.wgEncodeUwDnaseK562AlnRep1.chr22.bam.readCount.quantile	DHS.wgEncodeUwDnaseK562AlnRep1.chr22.bam.RPM.quantile	DHS.wgEncodeUwDnaseK562AlnRep1.chr22.bam.RPKM	DHS.wgEncodeUwDnaseK562AlnRep1.chr22.bam.RPKM.quantile	DHS.wgEncodeUwDnaseK562AlnRep2.chr22.bam.readCount	DHS.wgEncodeUwDnaseK562AlnRep2.chr22.bam.RPM	DHS.wgEncodeUwDnaseK562AlnRep2.chr22.bam.readCount.quantile	DHS.wgEncodeUwDnaseK562AlnRep2.chr22.bam.RPM.quantile	DHS.wgEncodeUwDnaseK562AlnRep2.chr22.bam.RPKM	DHS.wgEncodeUwDnaseK562AlnRep2.chr22.bam.RPKM.quantile	DHS.RPM	DHS.RPM.quantile	DHS.RPKM	DHS.RPKM.quantile	H3K27ac.ENCFF384ZZM.chr22.bam.readCount	H3K27ac.ENCFF384ZZM.chr22.bam.RPM	H3K27ac.ENCFF384ZZM.chr22.bam.readCount.quantile	H3K27ac.ENCFF384ZZM.chr22.bam.RPM.quantile	H3K27ac.ENCFF384ZZM.chr22.bam.RPKM	H3K27ac.ENCFF384ZZM.chr22.bam.RPKM.quantile	H3K27ac.RPM	H3K27ac.RPM.quantile	H3K27ac.RPKM	H3K27ac.RPKM.quantile	DHS.wgEncodeUwDnaseK562AlnRep1.chr22.bam.readCount.TSS1Kb	DHS.wgEncodeUwDnaseK562AlnRep1.chr22.bam.RPM.TSS1Kb	DHS.wgEncodeUwDnaseK562AlnRep1.chr22.bam.readCount.quantile.TSS1Kb	DHS.wgEncodeUwDnaseK562AlnRep1.chr22.bam.RPM.quantile.TSS1Kb	DHS.wgEncodeUwDnaseK562AlnRep1.chr22.bam.RPKM.TSS1Kb	DHS.wgEncodeUwDnaseK562AlnRep1.chr22.bam.RPKM.quantile.TSS1Kb	DHS.wgEncodeUwDnaseK562AlnRep2.chr22.bam.readCount.TSS1Kb	DHS.wgEncodeUwDnaseK562AlnRep2.chr22.bam.RPM.TSS1Kb	DHS.wgEncodeUwDnaseK562AlnRep2.chr22.bam.readCount.quantile.TSS1Kb	DHS.wgEncodeUwDnaseK562AlnRep2.chr22.bam.RPM.quantile.TSS1Kb	DHS.wgEncodeUwDnaseK562AlnRep2.chr22.bam.RPKM.TSS1Kb	DHS.wgEncodeUwDnaseK562AlnRep2.chr22.bam.RPKM.quantile.TSS1Kb	DHS.RPM.TSS1Kb	DHS.RPM.quantile.TSS1Kb	DHS.RPKM.TSS1Kb	DHS.RPKM.quantile.TSS1Kb	H3K27ac.ENCFF384ZZM.chr22.bam.readCount.TSS1Kb	H3K27ac.ENCFF384ZZM.chr22.bam.RPM.TSS1Kb	H3K27ac.ENCFF384ZZM.chr22.bam.readCount.quantile.TSS1Kb	H3K27ac.ENCFF384ZZM.chr22.bam.RPM.quantile.TSS1Kb	H3K27ac.ENCFF384ZZM.chr22.bam.RPKM.TSS1Kb	H3K27ac.ENCFF384ZZM.chr22.bam.RPKM.quantile.TSS1Kb	H3K27ac.RPM.TSS1Kb	H3K27ac.RPM.quantile.TSS1Kb	H3K27ac.RPKM.TSS1Kb	H3K27ac.RPKM.quantile.TSS1Kb	PromoterActivityQuantile
chr22	16150528	16193009	DUXAP8	0	-	DUXAP8	16193009	0.000000	0.000000	0.268271	False	K562	28	64.471415	0.161319	0.161319	1.517653	0.026738	33	84.542331	0.196078	0.196078	1.990121	0.033868	74.506873	0.181818	1.753887	0.026738	0	0.000000	0.020499	0.020499	0.000000	0.020499	0.000000	0.020499	0.000000	0.020499	0	0.000000	0.022282	0.022282	0.000000	0.022282	0	0.000000	0.028520	0.028520	0.000000	0.028520	0.000000	0.013369	0.000000	0.013369	0	0.000000	0.071301	0.071301	0.000000	0.071301	0.000000	0.071301	0.000000	0.071301	0.013369
chr22	16199673	16231289	LINC01297	0	-	LINC01297	16231289			0.081996	False	K562	22	50.656112	0.126560	0.126560	1.602230	0.030303	26	66.609110	0.161319	0.161319	2.106816	0.035651	58.632611	0.146168	1.854523	0.028520	0	0.000000	0.020499	0.020499	0.000000	0.020499	0.000000	0.020499	0.000000	0.020499	1	2.302551	0.075758	0.075758	2.302551	0.075758	1	2.561889	0.084670	0.084670	2.561889	0.084670	2.432220	0.066845	2.432220	0.066845	0	0.000000	0.071301	0.071301	0.000000	0.071301	0.000000	0.071301	0.000000	0.071301	0.048128
chr22	16256331	16287937	POTEH	0	-	POTEH	16287937	0.000000	0.000000	0.268271	False	K562	23	52.958662	0.132799	0.132799	1.675589	0.032086	21	53.799665	0.137255	0.137255	1.702198	0.030303	53.379164	0.137255	1.688893	0.024955	1	4.570238	0.045455	0.045455	0.144600	0.042781	4.570238	0.045455	0.144600	0.042781	1	2.302551	0.075758	0.075758	2.302551	0.075758	2	5.123778	0.139037	0.139037	5.123778	0.139037	3.713164	0.098930	3.713164	0.098930	0	0.000000	0.071301	0.071301	0.000000	0.071301	0.000000	0.071301	0.000000	0.071301	0.060606
chr22	16448823	16449804	OR11H1	0	-	OR11H1	16449804	0.000000	0.000000	0.268271	False	K562	0	0.000000	0.003565	0.003565	0.000000	0.003565	0	0.000000	0.004456	0.004456	0.000000	0.004456	0.000000	0.001783	0.000000	0.001783	0	0.000000	0.020499	0.020499	0.000000	0.020499	0.000000	0.020499	0.000000	0.020499	0	0.000000	0.022282	0.022282	0.000000	0.022282	0	0.000000	0.028520	0.028520	0.000000	0.028520	0.000000	0.013369	0.000000	0.013369	0	0.000000	0.071301	0.071301	0.000000	0.071301	0.000000	0.071301	0.000000	0.071301	0.013369
chr22	17071647	17073700	CCT8L2	0	-	CCT8L2	17073700	0.000000	0.000000	0.268271	False	K562	24	55.261213	0.138146	0.138146	26.917298	0.613191	15	38.428332	0.106061	0.106061	18.718136	0.515152	46.844773	0.117647	22.817717	0.563280	8	36.561902	0.125668	0.125668	17.809012	0.458111	36.561902	0.125668	17.809012	0.458111	15	34.538258	0.402852	0.402852	34.538258	0.402852	12	30.742666	0.399287	0.399287	30.742666	0.399287	32.640462	0.401070	32.640462	0.401070	4	18.280951	0.361854	0.361854	18.280951	0.361854	18.280951	0.361854	18.280951	0.361854	0.395722
chr22	17082800	17129720	TPTEP1	0	+	TPTEP1	17082800	175.620000	175.620000	0.959002	False	K562	632	1455.211938	0.825312	0.825312	31.014747	0.664884	681	1744.646293	0.844920	0.844920	37.183425	0.727273	1599.929116	0.832442	34.099086	0.713012	347	1585.872481	0.782531	0.782531	33.799499	0.631016	1585.872481	0.782531	33.799499	0.631016	94	216.439750	0.639037	0.639037	216.439750	0.639037	91	233.131883	0.655080	0.655080	233.131883	0.655080	224.785817	0.645276	224.785817	0.645276	60	274.214262	0.701426	0.701426	274.214262	0.701426	274.214262	0.701426	274.214262	0.701426	0.664884
chr22	17134598	17156430	ANKRD62P1-PARP4P3	0	-	ANKRD62P1-PARP4P3	17156430	0.000000	0.000000	0.268271	False	K562	185	425.971849	0.535651	0.535651	19.511353	0.508021	224	573.863098	0.614973	0.614973	26.285411	0.613191	499.917473	0.581105	22.898382	0.565062	27	123.396418	0.260250	0.260250	5.652089	0.106952	123.396418	0.260250	5.652089	0.106952	7	16.117854	0.316399	0.316399	16.117854	0.316399	4	10.247555	0.239750	0.239750	10.247555	0.239750	13.182705	0.291444	13.182705	0.291444	3	13.710713	0.319964	0.319964	13.710713	0.319964	13.710713	0.319964	13.710713	0.319964	0.333333
chr22	17227758	17229328	LINC01665	0	-	LINC01665	17229328			0.081996	False	K562	25	57.563763	0.141711	0.141711	36.664817	0.729055	30	76.856665	0.181818	0.181818	48.953290	0.786096	67.210214	0.165775	42.809054	0.761141	2	9.140475	0.057932	0.057932	5.821959	0.114082	9.140475	0.057932	5.821959	0.114082	14	32.235707	0.396613	0.396613	32.235707	0.396613	7	17.933222	0.323529	0.323529	17.933222	0.323529	25.084465	0.371658	25.084465	0.371658	2	9.140475	0.260250	0.260250	9.140475	0.260250	9.140475	0.260250	9.140475	0.260250	0.335116
chr22	17264305	17302589	XKR3	0	-	XKR3	17302589	8.320000	8.320000	0.650624	False	K562	589	1356.202265	0.807487	0.807487	35.424780	0.714795	703	1801.007847	0.852050	0.852050	47.043356	0.777184	1578.605056	0.828877	41.234068	0.746881	268	1224.823703	0.730838	0.730838	31.993096	0.622103	1224.823703	0.730838	31.993096	0.622103	3	6.907652	0.183601	0.183601	6.907652	0.183601	3	7.685666	0.188948	0.188948	7.685666	0.188948	7.296659	0.187166	7.296659	0.187166	0	0.000000	0.071301	0.071301	0.000000	0.071301	0.000000	0.071301	0.000000	0.071301	0.100713
chr22	17308363	17310225	HSFY1P1	0	+	HSFY1P1	17308363	0.000000	0.000000	0.268271	False	K562	5	11.512753	0.030303	0.030303	6.183004	0.119430	8	20.495111	0.063280	0.063280	11.007041	0.286988	16.003932	0.049911	8.595022	0.208556	2	9.140475	0.057932	0.057932	4.908956	0.090909	9.140475	0.057932	4.908956	0.090909	3	6.907652	0.183601	0.183601	6.907652	0.183601	2	5.123778	0.139037	0.139037	5.123778	0.139037	6.015715	0.148841	6.015715	0.148841	1	4.570238	0.184492	0.184492	4.570238	0.184492	4.570238	0.184492	4.570238	0.184492	0.196970
