chr	start	end	DHS.wgEncodeUwDnaseK562AlnRep1.chr22.bam.readCount	DHS.wgEncodeUwDnaseK562AlnRep1.chr22.bam.RPM	DHS.wgEncodeUwDnaseK562AlnRep1.chr22.bam.readCount.quantile	DHS.wgEncodeUwDnaseK562AlnRep1.chr22.bam.RPM.quantile	DHS.wgEncodeUwDnaseK562AlnRep1.chr22.bam.RPKM	DHS.wgEncodeUwDnaseK562AlnRep1.chr22.bam.RPKM.quantile	DHS.wgEncodeUwDnaseK562AlnRep2.chr22.bam.readCount	DHS.wgEncodeUwDnaseK562AlnRep2.chr22.bam.RPM	DHS.wgEncodeUwDnaseK562AlnRep2.chr22.bam.readCount.quantile	DHS.wgEncodeUwDnaseK562AlnRep2.chr22.bam.RPM.quantile	DHS.wgEncodeUwDnaseK562AlnRep2.chr22.bam.RPKM	DHS.wgEncodeUwDnaseK562AlnRep2.chr22.bam.RPKM.quantile	DHS.RPM	DHS.RPM.quantile	DHS.RPKM	DHS.RPKM.quantile	H3K27ac.ENCFF384ZZM.chr22.bam.readCount	H3K27ac.ENCFF384ZZM.chr22.bam.RPM	H3K27ac.ENCFF384ZZM.chr22.bam.readCount.quantile	H3K27ac.ENCFF384ZZM.chr22.bam.RPM.quantile	H3K27ac.ENCFF384ZZM.chr22.bam.RPKM	H3K27ac.ENCFF384ZZM.chr22.bam.RPKM.quantile	H3K27ac.RPM	H3K27ac.RPM.quantile	H3K27ac.RPKM	H3K27ac.RPKM.quantile	cellType	class	isPromoterElement	isGenicElement	isIntergenicElement	enhancerSymbol	name	normalized_h3K27ac	normalized_dhs	activity_base
chr22	16192759	16193259	0	0.000000	0.008996	0.008996	0.000000	0.008996	0	0.000000	0.010195	0.010195	0.000000	0.010195	0.000000	0.004948	0.000000	0.004948	0	0.000000	0.049925	0.049925	0.000000	0.049925	0.000000	0.049925	0.000000	0.049925	K562	promoter	True	False	False	DUXAP8	promoter|chr22:16192759-16193259	0.000000	0.000000	0.000000
chr22	37948632	37949132	321	739.118722	0.956672	0.956672	1478.237444	0.960720	243	622.538986	0.949325	0.949325	1245.077971	0.955022	680.828854	0.954723	1361.657707	0.959220	17	77.694041	0.773313	0.773313	155.388082	0.780360	77.694041	0.773313	155.388082	0.780360	K562	intergenic	False	False	True		intergenic|chr22:37948632-37949132	77.694041	680.828854	229.992054
chr22	37956099	37956720	34	78.286718	0.599100	0.599100	126.065569	0.537331	15	38.428332	0.351724	0.351724	61.881373	0.288456	58.357525	0.498351	93.973471	0.426687	24	109.685705	0.833883	0.833883	176.627544	0.807796	109.685705	0.833883	176.627544	0.807796	K562	promoter	True	False	False	CDC42EP1	promoter|chr22:37956099-37956720	109.685705	58.357525	80.006164
chr22	37957605	37958105	63	145.060684	0.749025	0.749025	290.121367	0.760120	66	169.084663	0.782459	0.782459	338.169325	0.791904	157.072673	0.766417	314.145346	0.776612	108	493.585671	0.970165	0.970165	987.171343	0.973913	493.585671	0.970165	987.171343	0.973913	K562	genic	False	True	False		genic|chr22:37957605-37958105	493.585671	157.072673	278.439977
chr22	37959306	37959806	39	89.799471	0.633583	0.633583	179.598942	0.643478	43	110.161220	0.684108	0.684108	220.322439	0.694753	99.980345	0.660570	199.960691	0.671964	30	137.107131	0.864768	0.864768	274.214262	0.873763	137.107131	0.864768	274.214262	0.873763	K562	genic	False	True	False		genic|chr22:37959306-37959806	137.107131	99.980345	117.081247
chr22	37963127	37963627	21	48.353561	0.415292	0.415292	96.707122	0.423388	17	43.552110	0.393553	0.393553	87.104220	0.400750	45.952836	0.410495	91.905671	0.418741	2	9.140475	0.258171	0.258171	18.280951	0.259520	9.140475	0.258171	18.280951	0.259520	K562	genic	False	True	False		genic|chr22:37963127-37963627	9.140475	45.952836	20.494652
chr22	37965386	37965886	23	52.958662	0.457271	0.457271	105.917325	0.465067	20	51.237777	0.453223	0.453223	102.475553	0.462369	52.098219	0.455472	104.196439	0.464018	4	18.280951	0.407946	0.407946	36.561902	0.413043	18.280951	0.407946	36.561902	0.413043	K562	genic	False	True	False		genic|chr22:37965386-37965886	18.280951	52.098219	30.861059
chr22	37966153	37966653	15	34.538258	0.269865	0.269865	69.076516	0.276762	17	43.552110	0.393553	0.393553	87.104220	0.400750	39.045184	0.343778	78.090368	0.350075	2	9.140475	0.258171	0.258171	18.280951	0.259520	9.140475	0.258171	18.280951	0.259520	K562	genic	False	True	False		genic|chr22:37966153-37966653	9.140475	39.045184	18.891573
chr22	37967016	37967516	12	27.630606	0.176162	0.176162	55.261213	0.179910	11	28.180777	0.242729	0.242729	56.361554	0.245277	27.905692	0.201799	55.811384	0.205397	0	0.000000	0.049925	0.049925	0.000000	0.049925	0.000000	0.049925	0.000000	0.049925	K562	genic	False	True	False		genic|chr22:37967016-37967516	0.000000	27.905692	0.000000
chr22	37975774	37976421	26	59.866314	0.509745	0.509745	92.529079	0.412594	28	71.732887	0.574813	0.574813	110.869996	0.487856	65.799601	0.546777	101.699537	0.454573	0	0.000000	0.049925	0.049925	0.000000	0.049925	0.000000	0.049925	0.000000	0.049925	K562	promoter	True	False	False	LGALS2	promoter|chr22:37975774-37976421	0.000000	65.799601	0.000000
chr22	37988496	37988996	52	119.732628	0.704048	0.704048	239.465256	0.714993	69	176.770329	0.790855	0.790855	353.540658	0.800300	148.251479	0.755922	296.502957	0.765817	0	0.000000	0.049925	0.049925	0.000000	0.049925	0.000000	0.049925	0.000000	0.049925	K562	intergenic	False	False	True		intergenic|chr22:37988496-37988996	0.000000	148.251479	0.000000
chr22	37941074	37941574	21	48.353561	0.415292	0.415292	96.707122	0.423388	20	51.237777	0.453223	0.453223	102.475553	0.462369	49.795669	0.439580	99.591338	0.447676	3	13.710713	0.340330	0.340330	27.421426	0.343628	13.710713	0.340330	27.421426	0.343628	K562	intergenic	False	False	True		intergenic|chr22:37941074-37941574	13.710713	49.795669	26.129182
chr22	37995112	37995612	26	59.866314	0.509745	0.509745	119.732628	0.517391	26	66.609110	0.547526	0.547526	133.218219	0.554573	63.237712	0.531484	126.475423	0.539580	2	9.140475	0.258171	0.258171	18.280951	0.259520	9.140475	0.258171	18.280951	0.259520	K562	intergenic	False	False	True		intergenic|chr22:37995112-37995612	9.140475	63.237712	24.042104
chr22	38003095	38003595	61	140.455583	0.742729	0.742729	280.911165	0.753223	65	166.522774	0.780060	0.780060	333.045548	0.789805	153.489178	0.761319	306.978357	0.771214	6	27.421426	0.513793	0.513793	54.842852	0.521739	27.421426	0.513793	54.842852	0.521739	K562	intergenic	False	False	True		intergenic|chr22:38003095-38003595	27.421426	153.489178	64.875975
chr22	38004230	38004869	229	527.284073	0.933583	0.933583	825.170693	0.912744	222	568.739320	0.941679	0.941679	890.045884	0.926537	548.011696	0.938531	857.608288	0.920840	101	461.594008	0.964018	0.964018	722.369339	0.957121	461.594008	0.964018	722.369339	0.957121	K562	promoter	True	False	False	GGA1	promoter|chr22:38004230-38004869	461.594008	548.011696	502.950211
chr22	38026949	38027449	32	73.681617	0.578111	0.578111	147.363234	0.587706	38	97.351776	0.655172	0.655172	194.703551	0.666417	85.516696	0.621589	171.033393	0.632084	2	9.140475	0.258171	0.258171	18.280951	0.259520	9.140475	0.258171	18.280951	0.259520	K562	genic	False	True	False		genic|chr22:38026949-38027449	9.140475	85.516696	27.958241
chr22	38029756	38030256	155	356.895333	0.890855	0.890855	713.790666	0.896252	113	289.493438	0.869565	0.869565	578.986875	0.875262	323.194385	0.881859	646.388771	0.886357	17	77.694041	0.773313	0.773313	155.388082	0.780360	77.694041	0.773313	155.388082	0.780360	K562	intergenic	False	False	True		intergenic|chr22:38029756-38030256	77.694041	323.194385	158.462228
chr22	38030442	38030942	32	73.681617	0.578111	0.578111	147.363234	0.587706	32	81.980443	0.614243	0.614243	163.960885	0.623238	77.831030	0.597751	155.662060	0.607196	11	50.272615	0.671364	0.671364	100.545229	0.680210	50.272615	0.671364	100.545229	0.680210	K562	intergenic	False	False	True		intergenic|chr22:38030442-38030942	50.272615	77.831030	62.552133
chr22	38035433	38035933	15	34.538258	0.269865	0.269865	69.076516	0.276762	10	25.618888	0.212744	0.212744	51.237777	0.215142	30.078573	0.226687	60.157146	0.230585	4	18.280951	0.407946	0.407946	36.561902	0.413043	18.280951	0.407946	36.561902	0.413043	K562	promoter	True	False	False	SH3BP1	promoter|chr22:38035433-38035933	18.280951	30.078573	23.449199
chr22	38039186	38039686	22	50.656112	0.437031	0.437031	101.312224	0.444828	13	33.304555	0.299400	0.299400	66.609110	0.304948	41.980333	0.374813	83.960667	0.381409	8	36.561902	0.588156	0.588156	73.123803	0.596252	36.561902	0.588156	73.123803	0.596252	K562	genic	False	True	False		genic|chr22:38039186-38039686	36.561902	41.980333	39.177555
chr22	38053513	38054013	99	227.952503	0.831484	0.831484	455.905006	0.839430	81	207.512995	0.820840	0.820840	415.025990	0.830135	217.732749	0.826687	435.465498	0.834183	65	297.065450	0.936882	0.936882	594.130901	0.944528	297.065450	0.936882	594.130901	0.944528	K562	promoter	True	False	False	LOC101927051	promoter|chr22:38053513-38054013	297.065450	217.732749	254.324354
chr22	38054134	38054986	626	1441.396635	0.983508	0.983508	1691.780088	0.969115	502	1286.068192	0.981259	0.981259	1509.469709	0.965217	1363.732414	0.982009	1600.624899	0.967016	103	470.734483	0.965517	0.965517	552.505262	0.940030	470.734483	0.965517	552.505262	0.940030	K562	promoter	True	False	False	LOC101927051,PDXP	promoter|chr22:38054134-38054986	470.734483	1363.732414	801.221488
chr22	38057221	38057721	49	112.824976	0.689205	0.689205	225.649952	0.698801	25	64.047221	0.533133	0.533133	128.094441	0.539730	88.436098	0.628186	176.872197	0.638681	29	132.536893	0.859670	0.859670	265.073786	0.868516	132.536893	0.859670	265.073786	0.868516	K562	genic	False	True	False		genic|chr22:38057221-38057721	132.536893	88.436098	108.263779
chr22	37997463	37997963	205	472.022860	0.921889	0.921889	944.045719	0.928786	175	448.330545	0.920690	0.920690	896.661090	0.927586	460.176702	0.921289	920.353405	0.928486	15	68.553565	0.749025	0.749025	137.107131	0.756072	68.553565	0.749025	137.107131	0.756072	K562	intergenic	False	False	True		intergenic|chr22:37997463-37997963	68.553565	460.176702	177.614058
chr22	38063962	38064462	89	204.926998	0.813343	0.813343	409.853995	0.822189	71	181.894107	0.796552	0.796552	363.788214	0.806297	193.410552	0.805397	386.821105	0.815592	4	18.280951	0.407946	0.407946	36.561902	0.413043	18.280951	0.407946	36.561902	0.413043	K562	intergenic	False	False	True		intergenic|chr22:38063962-38064462	18.280951	193.410552	59.461994
chr22	37934664	37935164	102	234.860155	0.836282	0.836282	469.720309	0.843628	99	253.626994	0.852774	0.852774	507.253988	0.859820	244.243574	0.845277	488.487149	0.852774	4	18.280951	0.407946	0.407946	36.561902	0.413043	18.280951	0.407946	36.561902	0.413043	K562	intergenic	False	False	True		intergenic|chr22:37934664-37935164	18.280951	244.243574	66.820691
chr22	37916743	37917243	26	59.866314	0.509745	0.509745	119.732628	0.517391	20	51.237777	0.453223	0.453223	102.475553	0.462369	55.552045	0.480810	111.104091	0.490405	3	13.710713	0.340330	0.340330	27.421426	0.343628	13.710713	0.340330	27.421426	0.343628	K562	intergenic	False	False	True		intergenic|chr22:37916743-37917243	13.710713	55.552045	27.598155
